Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.8,56603342,1,56603342.0,56603342.0,56603342,56603342,0.0,cudaDeviceSynchronize
27.9,28808709,1,28808709.0,28808709.0,28808709,28808709,0.0,cudaGraphLaunch_v10000
8.9,9223450,3544,2602.6,2390.0,1930,30529,1071.2,cudaLaunchKernel
5.9,6095777,18,338654.3,3320.0,710,3350342,979127.2,cudaStreamSynchronize
1.0,1031604,376,2743.6,2650.0,1910,8500,716.5,cuLaunchKernel
0.8,808621,119,6795.1,3190.0,2030,178406,17901.7,cudaMemcpyAsync
0.3,295971,155,1909.5,2070.0,70,8440,1055.2,cudaMemsetAsync
0.2,231205,3544,65.2,50.0,40,720,45.7,cuKernelGetName
0.1,103716,374,277.3,250.0,160,1930,169.0,cuKernelGetFunction
0.0,15600,40,390.0,360.0,140,1150,150.7,cudaStreamIsCapturing_v10000
0.0,2189,1,2189.0,2189.0,2189,2189,0.0,cuProfilerStart
