Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.8,5373450,720,7463.1,7168.0,4512,11808,2328.5,nvjet_sm120_qqtst_mma_64x32x64_16_32x16x64_tmaAB_bz_NNNN
17.2,2999422,106,28296.4,15375.0,12096,99646,31050.0,nvjet_sm120_qqtst_mma_128x64x64_8_64x32x64_tmaAB_bz_NNNN
12.4,2160686,17,127099.2,127293.0,124829,128221,881.9,nvjet_sm120_qqtst_mma_128x128x64_6_64x64x64_tmaAB_bz_NNNN
8.8,1532925,197,7781.3,5792.0,5759,28831,6425.5,"void fa2_vendor::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(fa2_vendor::Flash_fwd_params)"
6.0,1049126,350,2997.5,2976.0,2848,3296,81.8,"void gate_residual_ada_norm_fp8_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, __nv_fp8_e4m3 *, T1 *, int, float, const float *)"
4.5,787087,55,14310.7,8544.0,5984,24896,8335.2,nvjet_sm120_qqtst_mma_64x64x64_12_32x32x64_tmaAB_bz_NNNN
4.0,691186,197,3508.6,1120.0,1056,28832,7730.5,"void gate_silu_mul_merged_fp8_kernel<__nv_bfloat16>(const T1 *, __nv_fp8_e4m3 *, int, int, const float *)"
3.7,653520,197,3317.4,2912.0,2879,7904,1344.0,"void fa2_vendor::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(fa2_vendor::Flash_fwd_params)"
2.5,437554,306,1429.9,1120.0,992,3456,574.9,"void quantize_fp8_kernel_generic<__nv_bfloat16>(const T1 *, __nv_fp8_e4m3 *, const float *, int)"
1.7,294681,102,2889.0,2144.0,1024,6143,1661.5,"void bias_res_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, int)"
1.6,286266,27,10602.4,10495.0,10400,11904,372.2,"void fa2_vendor::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(fa2_vendor::Flash_fwd_params)"
1.4,243193,198,1228.2,832.0,800,5088,1198.3,"qkv_split_rope_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int, int)"
1.1,195870,55,3561.3,3520.0,3391,4000,159.5,"void layer_norm_kernel<__nv_bfloat16>(const T1 *, const T1 *, const T1 *, T1 *, int, float)"
0.9,151642,34,4460.1,4448.0,3488,5696,811.2,"void residual_add_rms_norm_fp8_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, __nv_fp8_e4m3 *, int, float, const float *)"
0.7,130396,10,13039.6,13023.5,12992,13120,48.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_nn_align8>(T1::Params)
0.7,117211,28,4186.1,4192.0,2880,4704,284.4,"add_bias_bf16_kernel(__nv_bfloat16 *, const __nv_bfloat16 *, int, int)"
0.6,106206,27,3933.6,3872.0,3839,4608,169.1,"qkv_split_kernel(const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int)"
0.4,78430,27,2904.8,2880.0,2815,3296,98.2,"void gelu_kernel<__nv_bfloat16>(T1 *, int)"
0.4,69790,27,2584.8,2528.0,2496,3168,187.3,"void fa2_vendor::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)16, (int)1, (bool)0>(fa2_vendor::Flash_fwd_params)"
0.2,29824,10,2982.4,2944.0,2880,3104,83.7,"void ada_rms_norm_style_fp8_kernel<__nv_bfloat16>(const T1 *, const T1 *, const T1 *, __nv_fp8_e4m3 *, T1 *, int, float, const float *)"
0.2,26399,10,2639.9,2656.0,2496,2816,127.4,"void ada_rms_norm_style_kernel<__nv_bfloat16>(const T1 *, const T1 *, const T1 *, T1 *, T1 *, int, float)"
0.1,15103,10,1510.3,1472.0,1440,1696,79.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align8>(T1::Params)
0.1,9568,10,956.8,944.0,928,1056,41.2,"void res_add_kernel<__nv_bfloat16>(T1 *, const T1 *, int)"
0.0,7616,10,761.6,768.0,736,768,13.5,"void gate_mul_res_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, int)"
0.0,7423,1,7423.0,7423.0,7423,7423,0.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_64x64_32x10_nn_align2>(T1::Params)
0.0,3296,1,3296.0,3296.0,3296,3296,0.0,"void rms_norm_fp8_kernel<__nv_bfloat16>(const T1 *, const T1 *, __nv_fp8_e4m3 *, int, float, const float *)"
