Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.4,63350318,1,63350318.0,63350318.0,63350318,63350318,0.0,cudaDeviceSynchronize
27.1,36160451,1,36160451.0,36160451.0,36160451,36160451,0.0,cudaGraphLaunch_v10000
15.2,20291680,18,1127315.6,3595.0,820,11321888,2872315.3,cudaStreamSynchronize
7.8,10435013,3544,2944.4,2570.0,2020,50859,1661.9,cudaLaunchKernel
1.0,1400003,119,11764.7,3560.0,2070,622406,57438.6,cudaMemcpyAsync
0.9,1222063,376,3250.2,2984.5,1940,22350,1419.8,cuLaunchKernel
0.2,313208,155,2020.7,2050.0,80,8060,1173.8,cudaMemsetAsync
0.2,292218,3544,82.5,50.0,40,970,70.5,cuKernelGetName
0.1,123310,374,329.7,270.0,160,2260,218.9,cuKernelGetFunction
0.0,20450,40,511.3,380.0,250,1600,283.4,cudaStreamIsCapturing_v10000
0.0,3660,1,3660.0,3660.0,3660,3660,0.0,cuProfilerStart
