Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.7,5387843,720,7483.1,7184.0,4512,11969,2336.7,nvjet_sm120_qqtst_mma_64x32x64_16_32x16x64_tmaAB_bz_NNNN
17.3,3498294,17,205782.0,126113.0,124865,873350,200391.3,nvjet_sm120_qqtst_mma_128x128x64_6_64x64x64_tmaAB_bz_NNNN
14.9,3012696,106,28421.7,15328.0,12128,103393,31258.2,nvjet_sm120_qqtst_mma_128x64x64_8_64x32x64_tmaAB_bz_NNNN
11.8,2391503,197,12139.6,5792.0,5728,590052,46111.5,"void fa2_vendor::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(fa2_vendor::Flash_fwd_params)"
5.6,1134980,55,20636.0,22432.0,5984,349794,45972.5,nvjet_sm120_qqtst_mma_64x64x64_12_32x32x64_tmaAB_bz_NNNN
5.2,1049829,350,2999.5,2976.0,2816,3712,96.4,"void gate_residual_ada_norm_fp8_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, const T1 *, __nv_fp8_e4m3 *, T1 *, int, float, const float *)"
3.4,692291,197,3514.2,1120.0,1056,29952,7724.6,"void gate_silu_mul_merged_fp8_kernel<__nv_bfloat16>(const T1 *, __nv_fp8_e4m3 *, int, int, const float *)"
3.2,656134,197,3330.6,2912.0,2880,8000,1351.6,"void fa2_vendor::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (int)4, (int)4, (bool)1>(fa2_vendor::Flash_fwd_params)"
2.2,435297,306,1422.5,1120.0,928,3136,561.6,"void quantize_fp8_kernel_generic<__nv_bfloat16>(const T1 *, __nv_fp8_e4m3 *, const float *, int)"
1.5,312577,10,31257.7,13056.0,12992,194977,57525.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_nn_align8>(T1::Params)
1.4,291971,102,2862.5,2176.0,960,6017,1615.7,"void bias_res_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, int)"
