Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
74.3,34267767,11674,2935.4,2620.0,1990,74519,1513.7,cudaLaunchKernel
10.7,4947873,1594,3104.1,2750.0,2130,40180,1628.5,cuLaunchKernel
7.0,3230500,524,6165.1,6280.0,2860,78259,4284.7,cudaMemcpyAsync
2.4,1122637,378,2969.9,2690.0,2170,9850,917.7,cudaLaunchKernelExC_v11060
2.0,935206,11674,80.1,60.0,40,6630,86.2,cuKernelGetName
1.9,864315,36,24008.8,7000.0,2600,136420,34104.0,cudaStreamSynchronize
1.2,563059,1594,353.2,300.0,170,3160,220.8,cuKernelGetFunction
0.3,154840,144,1075.3,170.0,70,9430,1486.0,cudaMemsetAsync
0.0,12630,1,12630.0,12630.0,12630,12630,0.0,cudaDeviceSynchronize
0.0,4110,1,4110.0,4110.0,4110,4110,0.0,cuProfilerStart
0.0,2070,2,1035.0,1035.0,780,1290,360.6,cudaStreamIsCapturing_v10000
