Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.6,12584879,126,99880.0,6795.0,1870,2324895,358338.2,cudaMemcpyAsync
29.7,11841763,116,102084.2,1655.0,520,2250286,357404.8,cudaStreamSynchronize
26.8,10652304,3441,3095.7,2690.0,2030,32690,1479.3,cudaLaunchKernel
5.8,2325865,710,3275.9,2870.0,2040,26469,1671.3,cuLaunchKernel
3.0,1179057,437,2698.1,2450.0,2010,11310,816.2,cudaLaunchKernelExC_v11060
0.9,350048,1,350048.0,350048.0,350048,350048,0.0,cudaDeviceSynchronize
0.8,324056,3441,94.2,60.0,40,770,79.8,cuKernelGetName
0.7,279527,174,1606.5,265.0,160,18950,2172.9,cudaMemsetAsync
0.6,237480,709,335.0,260.0,150,2530,249.5,cuKernelGetFunction
0.1,31820,68,467.9,420.0,160,1250,165.0,cudaStreamIsCapturing_v10000
0.0,3780,1,3780.0,3780.0,3780,3780,0.0,cuProfilerStart
