Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
68.5,14161666,5434,2606.1,2450.0,1870,49540,1025.3,cudaLaunchKernel
11.8,2433428,1034,2353.4,2230.0,1760,13200,612.7,cuLaunchKernel
9.9,2055691,898,2289.2,2255.0,170,10660,783.4,cudaMemsetAsync
4.9,1004877,125,8039.0,5690.0,1730,178397,15801.2,cudaMemcpyAsync
1.7,352124,5434,64.8,50.0,40,600,41.4,cuKernelGetName
1.4,295623,105,2815.5,1270.0,530,56449,7845.5,cudaStreamSynchronize
1.3,260960,1033,252.6,240.0,170,1410,118.3,cuKernelGetFunction
0.4,90717,33,2749.0,2380.0,2170,7370,1016.4,cudaLaunchKernelExC_v11060
0.1,23289,68,342.5,330.0,150,990,85.5,cudaStreamIsCapturing_v10000
0.0,5130,1,5130.0,5130.0,5130,5130,0.0,cudaDeviceSynchronize
0.0,3730,1,3730.0,3730.0,3730,3730,0.0,cuProfilerStart
